input,label
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0001.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0002.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0003.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0004.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0005.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0006.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0007.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0008.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0009.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0010.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0011.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0012.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0013.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0014.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0015.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0016.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0017.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0018.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0019.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0020.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0021.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0022.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0023.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0024.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0025.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0026.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0027.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0028.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0029.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0030.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0031.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0032.png,126.8227109
/home/nthom/Documents/fracture/data_224x168/R1/r-1-f-0033.png,126.8227109
